question=['athens' 'greece' 'baghdad' 'iraq'], predicted=iraq
question=['athens' 'greece' 'beijing' 'china'], predicted=china
question=['athens' 'greece' 'berlin' 'germany'], predicted=germany
question=['athens' 'greece' 'cairo' 'egypt'], predicted=egypt
question=['athens' 'greece' 'canberra' 'australia'], predicted=australia
question=['athens' 'greece' 'havana' 'cuba'], predicted=cuba
question=['athens' 'greece' 'helsinki' 'finland'], predicted=finland
question=['athens' 'greece' 'islamabad' 'pakistan'], predicted=pakistan
question=['athens' 'greece' 'kabul' 'afghanistan'], predicted=afghanistan
question=['athens' 'greece' 'madrid' 'spain'], predicted=spain
question=['athens' 'greece' 'moscow' 'russia'], predicted=russia
question=['athens' 'greece' 'oslo' 'norway'], predicted=norway
question=['athens' 'greece' 'ottawa' 'canada'], predicted=canada
question=['athens' 'greece' 'paris' 'france'], predicted=france
question=['athens' 'greece' 'rome' 'italy'], predicted=italy
question=['athens' 'greece' 'stockholm' 'sweden'], predicted=sweden
question=['athens' 'greece' 'tokyo' 'japan'], predicted=japan
question=['baghdad' 'iraq' 'berlin' 'germany'], predicted=germany
question=['baghdad' 'iraq' 'bern' 'switzerland'], predicted=switzerland
question=['baghdad' 'iraq' 'cairo' 'egypt'], predicted=egypt
question=['baghdad' 'iraq' 'hanoi' 'vietnam'], predicted=vietnam
question=['baghdad' 'iraq' 'havana' 'cuba'], predicted=cuba
question=['baghdad' 'iraq' 'helsinki' 'finland'], predicted=finland
question=['baghdad' 'iraq' 'islamabad' 'pakistan'], predicted=pakistan
question=['baghdad' 'iraq' 'kabul' 'afghanistan'], predicted=afghanistan
question=['baghdad' 'iraq' 'oslo' 'norway'], predicted=norway
question=['baghdad' 'iraq' 'ottawa' 'canada'], predicted=canada
question=['baghdad' 'iraq' 'paris' 'france'], predicted=france
question=['baghdad' 'iraq' 'stockholm' 'sweden'], predicted=sweden
question=['baghdad' 'iraq' 'tehran' 'iran'], predicted=iran
question=['baghdad' 'iraq' 'tokyo' 'japan'], predicted=japan
question=['baghdad' 'iraq' 'athens' 'greece'], predicted=greece
question=['bangkok' 'thailand' 'beijing' 'china'], predicted=china
question=['bangkok' 'thailand' 'berlin' 'germany'], predicted=germany
question=['bangkok' 'thailand' 'bern' 'switzerland'], predicted=switzerland
question=['bangkok' 'thailand' 'cairo' 'egypt'], predicted=egypt
question=['bangkok' 'thailand' 'canberra' 'australia'], predicted=australia
question=['bangkok' 'thailand' 'hanoi' 'vietnam'], predicted=vietnam
question=['bangkok' 'thailand' 'havana' 'cuba'], predicted=cuba
question=['bangkok' 'thailand' 'helsinki' 'finland'], predicted=finland
question=['bangkok' 'thailand' 'islamabad' 'pakistan'], predicted=pakistan
question=['bangkok' 'thailand' 'kabul' 'afghanistan'], predicted=afghanistan
question=['bangkok' 'thailand' 'london' 'england'], predicted=england
question=['bangkok' 'thailand' 'madrid' 'spain'], predicted=spain
question=['bangkok' 'thailand' 'moscow' 'russia'], predicted=russia
question=['bangkok' 'thailand' 'oslo' 'norway'], predicted=norway
